question_number;id_original;area;dificuldade;referencia;gabarito
425;2011-05_46;direito_consitucional;Nível 4 - Ministro (STF/STJ);Art. 49 do Código de Defesa do Consumidor (Lei nº 8.078/1990);D
426;2011-05_47;direito_do_consumidor;Nível 1 - Estagiário;Art. 18 do Código de Defesa do Consumidor;C
427;2011-05_48;direito_civil;Nível 1 - Estagiário;Art. 1.179 do Código Civil;B
428;2011-05_49;direito_civil;Nível 1 - Estagiário;Art. 4º da Lei 6404/76;A
429;2011-05_50;direito_empresarial;Nível 2 - Analista;Art. 1.151 do Código Civil;A
430;2011-05_51;direito_civil;Nível 1 - Estagiário;Art. 1.052 do Código Civil;D
431;2011-05_52;direito_contratual;Nível 1 - Estagiário;Lei 11.101/2005, Art. 26, inciso I;B
432;2011-05_53;direito_tributario;Nível 3 - Juiz de Direito;Art. 106 do Código Tributário Nacional (CTN);B
433;2011-05_54;direito_tributario;Nível 2 - Analista;Art. 155 do Código Tributário Nacional (CTN) e legislação do ICMS;B
434;2011-05_55;direito_tributario;Nível 1 - Estagiário;Art. 113 do Código Tributário Nacional (CTN);B
435;2011-05_56;direito_tributario;Nível 1 - Estagiário;Art. 106 do Código Tributário Nacional (CTN);A
436;2011-05_57;direito_ambiental;Nível 3 - Juiz de Direito;Art. 1º da Lei 12.651/2012 (Código Florestal);D
437;2011-05_58;direito_ambiental;Nível 1 - Estagiário;Art. 3º, § 3º, da Lei 9.605/98;A
438;2011-05_59;direito_penal;Nível 3 - Juiz de Direito;Art. 339 do Código Penal;C
439;2011-05_60;direito_penal;Nível 2 - Analista;Art. 69 do Código Penal e Súmula 711 do STF;A
440;2011-05_61;direito_trânsito;Nível 2 - Analista;Art. 302 do Código de Trânsito Brasileiro;B
441;2011-05_62;direito_penal;Nível 3 - Juiz de Direito;Art. 7 do Código Penal;A
442;2011-05_63;direito_penal;Nível 3 - Juiz de Direito;Art. 18 do Código Penal (erro de tipo) e jurisprudência sobre legítima defesa;A
443;2011-05_64;direito_penal;Nível 1 - Estagiário;Art. 155 do Código Penal;B
444;2011-05_65;direito_constitucional;Nível 4 - Ministro (STF/STJ);Súmula Vinculante nº 14 do STF;D
445;2011-05_66;direito_penal;Nível 2 - Analista;Art. 69 da Lei nº 9.099/1995 (Lei dos Juizados Especiais Criminais);A
446;2011-05_67;direito_penal;Nível 3 - Juiz de Direito;Art. 124 do Código Penal e Art. 9º do Código de Processo Penal;C
447;2011-05_68;direito_penal;Nível 4 - Ministro (STF/STJ);"Art. 5º, inciso LVI, da Constituição Federal; Súmula Vinculante nº 14; jurisprudência do STF e STJ sobre prova ilícita e teoria dos frutos da árvore envenenada.";D
448;2011-05_69;direito_processual_penal;Nível 3 - Juiz de Direito;Art. 585 do Código de Processo Penal;D
449;2011-05_70;direito_trabalhista;Nível 2 - Analista;Art. 477 da CLT;A
450;2011-05_71;direito_trabalhista;Nível 2 - Analista;Art. 73 da CLT;D
451;2011-05_72;direito_trabalhista;Nível 3 - Juiz de Direito;Art. 3º da CLT e Súmula 338 do TST;C
452;2011-05_73;direito_trabalhista;Nível 1 - Estagiário;Art. 373, inciso I, da CLT;D
453;2011-05_74;direito_trabalhista;Nível 3 - Juiz de Direito;Art. 7º, XXI, da Constituição Federal;B
454;2011-05_75;direito_trabalhista;Nível 3 - Juiz de Direito;Art. 461 da CLT;C
455;2011-05_76;direito_trabalhista;Nível 3 - Juiz de Direito;Art. 485, § 3º da CLT;D
456;2011-05_77;direito_trabalhista;Nível 2 - Analista;Art. 843 da CLT;D
457;2011-05_78;direito_processual;Nível 2 - Analista;Art. 1.003 do Código de Processo Civil;A
458;2011-05_79;direito_trabalhista;Nível 2 - Analista;Art. 659, X, da CLT;A
459;2011-05_80;direito_trabalhista;Nível 2 - Analista;Art. 580 da CLT;D
460;2012-06_1;direito_trabalhista;Nível 2 - Analista;Art. 62 da CLT e Súmula 338 do TST;B
461;2012-06_2;direito_civil;Nível 1 - Estagiário;Art. 6º, inciso I, do Estatuto da Advocacia e da OAB (Lei nº 8.906/1994), que trata das condições para o exercício da advocacia, incluindo questões relacionadas à saúde e impedimentos temporários.;C
462;2012-06_3;direito_constitucional;Nível 2 - Analista;Art. 7º, inciso IX, do Estatuto da Advocacia e da OAB (Lei nº 8.906/1994), que trata da inviolabilidade do sigilo profissional e das hipóteses de recusa ao depoimento como testemunha pelo advogado.;B
463;2012-06_4;direito_administrativo;Nível 2 - Analista;Lei nº 8.906/1994, Art. 51, inciso I;B
464;2012-06_5;direito_civil;Nível 3 - Juiz de Direito;Art. 1.519 do Código Civil;C
465;2012-06_6;direito_estatutario;Nível 3 - Juiz de Direito;Art. 1.01 do Código de Ética e Disciplina da OAB;D
466;2012-06_7;direito_processual;Nível 3 - Juiz de Direito;Art. 7 do Estatuto da Advocacia e da OAB;D
467;2012-06_8;direito_tributario;Nível 1 - Estagiário;Art. 34 do Código de Ética e Disciplina da OAB;A
468;2012-06_9;direito_administrativo;Nível 4 - Ministro (STF/STJ);Art. 28 do Estatuto da Advocacia e da OAB (Lei nº 8.906/1994), que regula a publicidade na advocacia, estabelecendo restrições éticas e vedando publicidade ostensiva ou que configure captação de clientela.;D
469;2012-06_10;direito_constitucional;Nível 4 - Ministro (STF/STJ);Art. 7º, § 2º, da Lei nº 8.906/1994 (Estatuto da Advocacia e da OAB);D
470;2012-06_11;direito_civil;Nível 2 - Analista;Art. 85, § 2º do Código de Processo Civil;B
