question_number;id_original;area;dificuldade;referencia_principal;gabarito
531;2012-06_72;direito_do_trabalho;Nível 3 - Juiz de Direito;Art. 58, § 2º da CLT (redação anterior à Lei 13.467/2017) e Súmula 90 do TST;A
532;2012-06_73;direito_do_trabalho;Nível 3 - Juiz de Direito;Art. 477, § 6º e § 8º da CLT;B
533;2012-06_74;direito_do_trabalho;Nível 3 - Juiz de Direito;Art. 71, § 3º da CLT;C
534;2012-06_75;direito_do_trabalho;Nível 1 - Estagiário;Art. 59, § 6º da CLT;C
535;2012-06_76;direito_do_trabalho;Nível 1 - Estagiário;Art. 767 da CLT;A
536;2012-06_77;direito_do_trabalho;Nível 3 - Juiz de Direito;Art. 832, § 6º da CLT;D
537;2012-06_78;direito_do_trabalho;Nível 2 - Analista;Art. 2º, VIII, da Instrução Normativa nº 39/2016 do TST;B
538;2012-06_79;direito_do_trabalho;Nível 3 - Juiz de Direito;Súmula 338, III, do TST;B
539;2012-06_80;direito_do_trabalho;Nível 1 - Estagiário;Art. 791, § 3º da CLT;A
540;2012-06a_1;direito_administrativo;Nível 3 - Juiz de Direito;Art. 39 do Código de Ética e Disciplina da OAB;A
541;2012-06a_2;direito_administrativo;Nível 3 - Juiz de Direito;Art. 7, VI, alínea 'b', da Lei nº 8.906/1994;D
542;2012-06a_3;direito_administrativo;Nível 1 - Estagiário;Art. 1º, inciso II, da Lei nº 8.906/1994;B
543;2012-06a_4;direito_administrativo;Nível 1 - Estagiário;Art. 6º da Lei nº 8.906/1994;D
544;2012-06a_5;direito_administrativo;Nível 3 - Juiz de Direito;Art. 7, inciso III, da Lei nº 8.906/94;B
545;2012-06a_6;direito_administrativo;Nível 1 - Estagiário;Art. 15, § 10 da Lei nº 8.906/94 (EAOAB);B
546;2012-06a_7;direito_civil;Nível 3 - Juiz de Direito;Art. 24 da Lei nº 8.906/1994 (Estatuto da Advocacia);C
547;2012-06a_8;direito_administrativo;Nível 3 - Juiz de Direito;Art. 34, inciso V, da Lei nº 8.906/94;B
548;2012-06a_9;direito_administrativo;Nível 2 - Analista;Art. 71 do Código de Ética e Disciplina da OAB;D
549;2012-06a_10;direito_administrativo;Nível 1 - Estagiário;Art. 29, § 1º, II do Regulamento Geral do Estatuto da Advocacia e da OAB;B
550;2012-06a_11;direito_administrativo;Nível 1 - Estagiário;Art. 23, § 1º, II do Regulamento Geral do Estatuto da Advocacia e da OAB;C
551;2012-06a_12;direito_administrativo;Nível 3 - Juiz de Direito;Art. 161 do Regulamento Geral do Estatuto da Advocacia e da OAB;B
552;2012-06a_13;direito_penal;Nível 1 - Estagiário;Art. 3º da Lei nº 7.210/1984 (LEP);A
553;2012-06a_14;direito_constitucional;Nível 1 - Estagiário;Artigo 4, item 2, do Pacto de São José da Costa Rica;C
554;2012-06a_15;direito_constitucional;Nível 1 - Estagiário;Artigo 19, parágrafo 6º, do Protocolo de San Salvador;A
555;2012-06a_16;direito_constitucional;Nível 1 - Estagiário;Art. 103-A, § 3º, da Constituição Federal de 1988;B
556;2012-06a_17;direito_constitucional;Nível 2 - Analista;Art. 132 da Constituição Federal de 1988;C
557;2012-06a_18;direito_constitucional;Nível 1 - Estagiário;Art. 29, VIII, da Constituição Federal de 1988;C
558;2012-06a_19;direito_constitucional;Nível 1 - Estagiário;Art. 49, V, da Constituição Federal de 1988;D
559;2012-06a_20;direito_constitucional;Nível 2 - Analista;Art. 62, § 3º e § 11 da Constituição Federal de 1988;C
560;2012-06a_21;direito_constitucional;Nível 3 - Juiz de Direito;Art. 22, inciso I, da Constituição Federal de 1988;D
561;2012-06a_22;direito_constitucional;Nível 3 - Juiz de Direito;Art. 50 da Constituição Federal de 1988;C
562;2012-06a_23;direito_civil;Nível 3 - Juiz de Direito;Art. 9, caput, do Decreto-Lei nº 4.657/1942 (LINDB);A
563;2012-06a_24;direito_civil;Nível 3 - Juiz de Direito;Art. 10, caput, da LINDB (Decreto-Lei nº 4.657/1942);A
564;2012-06a_25;direito_civil;Nível 3 - Juiz de Direito;Art. 42, § 2º e Art. 45, § 1º da Lei nº 8.069/1990 (ECA);D
565;2012-06a_26;direito_civil;Nível 3 - Juiz de Direito;Art. 36 e Art. 38 da Lei nº 8.069/1990 (ECA);C
566;2012-06a_27;direito_administrativo;Nível 1 - Estagiário;Art. 6º, § 1º da Lei 8.987/95;C
567;2012-06a_28;direito_administrativo;Nível 2 - Analista;Doutrina de Direito Administrativo (Classificação dos Atos Administrativos quanto à formação da vontade);D
568;2012-06a_29;direito_administrativo;Nível 1 - Estagiário;Art. 56 da Lei 8.666/93 ou Art. 96 da Lei 14.133/21;B
569;2012-06a_30;direito_administrativo;Nível 1 - Estagiário;Art. 44, § 1º da Lei 8.666/93;C
570;2012-06a_31;direito_administrativo;Nível 3 - Juiz de Direito;Art. 4, VI e Art. 5, III da Lei 11.079/2004;C
571;2012-06a_32;direito_administrativo;Nível 3 - Juiz de Direito;Art. 126 da Lei nº 8.112/1990;D
572;2012-06a_33;direito_civil;Nível 3 - Juiz de Direito;Art. 1.851 do Código Civil;C
573;2012-06a_34;direito_civil;Nível 1 - Estagiário;Art. 1.636 da Lei nº 10.406/2002 (Código Civil);D
574;2012-06a_35;direito_civil;Nível 3 - Juiz de Direito;Art. 1.336, inciso I, do Código Civil;D
575;2012-06a_36;direito_civil;Nível 3 - Juiz de Direito;Art. 927, parágrafo único, do Código Civil;A
576;2012-06a_37;direito_civil;Nível 3 - Juiz de Direito;Art. 63 do Código Civil (Lei nº 10.406/2002);B
577;2012-06a_38;direito_civil;Nível 1 - Estagiário;Art. 157, § 1º do Código Civil (Lei nº 10.406/2002);B
578;2012-06a_39;direito_civil;Nível 3 - Juiz de Direito;Art. 1.302 do Código Civil;B
579;2012-06a_40;direito_civil;Nível 2 - Analista;Art. 932, inciso V, do Código de Processo Civil (Lei nº 13.105/2015);D
580;2012-06a_41;direito_civil;Nível 2 - Analista;Art. 192 da Lei nº 5.869/1973 (CPC/73);B
581;2012-06a_42;direito_civil;Nível 3 - Juiz de Direito;Art. 124 da Lei nº 13.105/2015 (Código de Processo Civil);A
582;2012-06a_43;direito_constitucional;Nível 2 - Analista;Art. 105, I, d, da Constituição Federal de 1988;D
583;2012-06a_44;direito_civil;Nível 2 - Analista;Art. 539, § 1º da Lei nº 13.105/2015 (Código de Processo Civil);A
584;2012-06a_45;direito_civil;Nível 2 - Analista;Art. 82, § 2º e Art. 84 do Código de Processo Civil (Lei nº 13.105/2015);B
585;2012-06a_46;direito_civil;Nível 1 - Estagiário;Art. 54, §§ 3º e 4º da Lei nº 8.078/1990 (CDC);D
586;2012-06a_47;direito_civil;Nível 1 - Estagiário;Art. 6, VIII da Lei nº 8.078/1990 (CDC);A
587;2012-06a_48;direito_empresarial;Nível 2 - Analista;Art. 132, inciso II, da Lei nº 6.404/1976;B
588;2012-06a_49;direito_empresarial;Nível 1 - Estagiário;Art. 1.052 da Lei nº 10.406/2002 (Código Civil);C
589;2012-06a_50;direito_empresarial;Nível 1 - Estagiário;Art. 1.160 da Lei nº 10.406/2002 (Código Civil);C
590;2012-06a_51;direito_empresarial;Nível 1 - Estagiário;Art. 83 da Lei nº 11.101/2005;D
591;2012-06a_52;direito_empresarial;Nível 2 - Analista;Art. 137, § 4º da Lei nº 6.404/1976;A
592;2012-06a_53;direito_tributario;Nível 1 - Estagiário;Art. 145, II, da Constituição Federal de 1988;B
593;2012-06a_54;direito_tributario;Nível 1 - Estagiário;Art. 145, II, da CF/88 e Art. 77 do CTN;C
594;2012-06a_55;direito_tributario;Nível 3 - Juiz de Direito;Art. 150, § 4º, do CTN;B
595;2012-06a_56;direito_tributario;Nível 3 - Juiz de Direito;Art. 175, parágrafo único, e Art. 194 do Código Tributário Nacional (CTN);A
596;2012-06a_57;direito_administrativo;Nível 3 - Juiz de Direito;Art. 2º da Resolução CONAMA nº 09/1987;D
597;2012-06a_58;direito_constitucional;Nível 3 - Juiz de Direito;Art. 225, § 6º da Constituição Federal de 1988;A
598;2012-06a_59;direito_penal;Nível 1 - Estagiário;Art. 54 da Lei nº 7.210/1984 (LEP);C
599;2012-06a_60;direito_penal;Nível 1 - Estagiário;Art. 107, IV, do Código Penal;C
600;2012-06a_61;direito_penal;Nível 3 - Juiz de Direito;Art. 123 do Código Penal;C
601;2012-06a_62;direito_penal;Nível 3 - Juiz de Direito;Princípio da Adequação Social (Doutrina / Art. 1º do Código Penal);B
602;2012-06a_63;direito_penal;Nível 3 - Juiz de Direito;Art. 133, § 3º, inciso II, do Código Penal;C
603;2012-06a_64;direito_penal;Nível 3 - Juiz de Direito;Art. 13 do Código Penal (Teoria da Imputação Objetiva);D
604;2012-06a_65;direito_penal;Nível 1 - Estagiário;Art. 155 do Código de Processo Penal;D
605;2012-06a_66;direito_penal;Nível 3 - Juiz de Direito;Art. 28, inciso I, da Lei nº 9.605/1998;A
606;2012-06a_67;direito_constitucional;Nível 2 - Analista;Art. 109, inciso X, da Constituição Federal de 1988;A
607;2012-06a_68;direito_penal;Nível 2 - Analista;Art. 53, II da Lei 11.343/06 e Art. 2º, II da Lei 9.034/95;A
608;2012-06a_69;direito_penal;Nível 1 - Estagiário;Art. 76, inciso I, do Código de Processo Penal;C
609;2012-06a_70;direito_do_trabalho;Nível 1 - Estagiário;Art. 468 da CLT;C
610;2012-06a_71;direito_do_trabalho;Nível 1 - Estagiário;Arts. 19, 20 e 21 da Lei 8.213/1991;A
611;2012-06a_72;direito_do_trabalho;Nível 1 - Estagiário;Art. 442 e 443 da CLT;D
612;2012-06a_73;direito_do_trabalho;Nível 3 - Juiz de Direito;Súmula 32 do TST;D
613;2012-06a_74;direito_do_trabalho;Nível 1 - Estagiário;"Art. 1, parágrafo único da LC 150/2015; Art. 428 da CLT; Art. 301 da CLT";D
614;2012-06a_75;direito_do_trabalho;Nível 2 - Analista;Arts. 236, 302 e 332 da CLT;B
615;2012-06a_76;direito_do_trabalho;Nível 2 - Analista;Art. 818, II da CLT;A
616;2012-06a_77;direito_do_trabalho;Nível 2 - Analista;Art. 802 da CLT;A
617;2012-06a_78;direito_do_trabalho;Nível 3 - Juiz de Direito;Art. 897, 'a', e Art. 884, § 3º, da CLT;B
618;2012-06a_79;direito_do_trabalho;Nível 2 - Analista;Art. 651, § 3º da CLT;B
619;2012-06a_80;direito_do_trabalho;Nível 3 - Juiz de Direito;Art. 790-A, inciso I, da CLT;A
620;2012-07_1;direito_administrativo;Nível 3 - Juiz de Direito;Art. 15, § 4º da Lei nº 8.906/94;B
621;2012-07_2;direito_administrativo;Nível 3 - Juiz de Direito;Art. 37, § 2º da Lei nº 8.906/1994;B
622;2012-07_3;direito_penal;Nível 3 - Juiz de Direito;Art. 142, I, do Código Penal e Art. 7º, § 2º, da Lei nº 8.906/94;D
623;2012-07_4;direito_civil;Nível 1 - Estagiário;Art. 22, § 4º da Lei nº 8.906/94;A
624;2012-07_5;direito_constitucional;Nível 1 - Estagiário;Art. 2, § 1º da Lei nº 8.906/1994;B
625;2012-07_6;direito_penal;Nível 3 - Juiz de Direito;Art. 7, § 6º da Lei nº 8.906/94;C
626;2012-07_7;direito_empresarial;Nível 3 - Juiz de Direito;Art. 2º, parágrafo único, do Regulamento Geral do Estatuto da Advocacia e da OAB;B
627;2012-07_8;direito_administrativo;Nível 1 - Estagiário;Art. 5º do Regulamento Geral do Estatuto da Advocacia e da OAB;D
628;2012-07_9;direito_administrativo;Nível 1 - Estagiário;Art. 9º do Regulamento Geral do Estatuto da Advocacia e da OAB;D
629;2012-07_10;direito_administrativo;Nível 3 - Juiz de Direito;Art. 18 do Regulamento Geral do Estatuto da Advocacia e da OAB;C
630;2012-07_11;direito_administrativo;Nível 1 - Estagiário;Art. 27, § 2º do Regulamento Geral do Estatuto da Advocacia e da OAB;B
631;2012-07_12;direito_administrativo;Nível 1 - Estagiário;Art. 45, § 1º do Regulamento Geral do Estatuto da Advocacia e da OAB;B
632;2012-07_13;direito_civil;Nível 1 - Estagiário;Art. 3º, § 1º, IX da Lei nº 10.741/2003;B
633;2012-07_14;direito_constitucional;Nível 3 - Juiz de Direito;Art. 44 e Art. 46 da Convenção Americana sobre Direitos Humanos (Pacto de São José da Costa Rica);C
634;2012-07_15;direito_constitucional;Nível 3 - Juiz de Direito;Artigo 44 da Convenção Americana sobre Direitos Humanos (Pacto de San José da Costa Rica);D
635;2012-07_16;direito_constitucional;Nível 4 - Ministro (STF/STJ);Art. 103 da Constituição Federal de 1988 e Jurisprudência Consolidada do STF;B
636;2012-07_17;direito_constitucional;Nível 1 - Estagiário;Art. 81, § 1º da Constituição Federal de 1988;D
